Федеральный округ,"Кто из ваших друзей знает о том, что вы ЛГБТК+ персона?","Кто из ваших друзей знает о том, что вы ЛГБТК+ персона?"
Дальневосточный федеральный округ,Самые близкие друзья,109
Дальневосточный федеральный округ,Большинство друзей,83
Дальневосточный федеральный округ,Никто из них не знает,10
Приволжский федеральный округ,Самые близкие друзья,432
Приволжский федеральный округ,Большинство друзей,384
Приволжский федеральный округ,Никто из них не знает,83
Северо-Западный федеральный округ,Большинство друзей,879
Северо-Западный федеральный округ,Самые близкие друзья,638
Северо-Западный федеральный округ,Никто из них не знает,79
Северо-Кавказский федеральный округ,Большинство друзей,35
Северо-Кавказский федеральный округ,Самые близкие друзья,19
Северо-Кавказский федеральный округ,Никто из них не знает,5
Сибирский федеральный округ,Самые близкие друзья,298
Сибирский федеральный округ,Большинство друзей,255
Сибирский федеральный округ,Никто из них не знает,46
Уральский федеральный округ,Самые близкие друзья,257
Уральский федеральный округ,Большинство друзей,214
Уральский федеральный округ,Никто из них не знает,46
Центральный федеральный округ,Большинство друзей,1177
Центральный федеральный округ,Самые близкие друзья,979
Центральный федеральный округ,Никто из них не знает,132
Южный федеральный округ,Самые близкие друзья,139
Южный федеральный округ,Большинство друзей,120
Южный федеральный округ,Никто из них не знает,20
