Федеральный округ,Ваш ежемесячный доход в течение последнего года составляет в среднем…,Ваш ежемесячный доход в течение последнего года составляет в среднем…
Дальневосточный федеральный округ,"...более 30 000 рублей, но менее 60 000 рублей",41
Дальневосточный федеральный округ,"...более 60 000 рублей, но менее 100 000 рублей",31
Дальневосточный федеральный округ,"...более 12 000 рублей, но менее 30 000 рублей",28
Дальневосточный федеральный округ,...100 000 рублей и более,19
Дальневосточный федеральный округ,...12 000 рублей или менее,12
Приволжский федеральный округ,"...более 30 000 рублей, но менее 60 000 рублей",262
Приволжский федеральный округ,"...более 12 000 рублей, но менее 30 000 рублей",175
Приволжский федеральный округ,"...более 60 000 рублей, но менее 100 000 рублей",91
Приволжский федеральный округ,...100 000 рублей и более,78
Приволжский федеральный округ,...12 000 рублей или менее,49
Северо-Западный федеральный округ,"...более 30 000 рублей, но менее 60 000 рублей",391
Северо-Западный федеральный округ,"...более 60 000 рублей, но менее 100 000 рублей",317
Северо-Западный федеральный округ,...100 000 рублей и более,236
Северо-Западный федеральный округ,"...более 12 000 рублей, но менее 30 000 рублей",188
Северо-Западный федеральный округ,...12 000 рублей или менее,64
Северо-Кавказский федеральный округ,"...более 12 000 рублей, но менее 30 000 рублей",12
Северо-Кавказский федеральный округ,"...более 30 000 рублей, но менее 60 000 рублей",10
Северо-Кавказский федеральный округ,"...более 60 000 рублей, но менее 100 000 рублей",7
Северо-Кавказский федеральный округ,...12 000 рублей или менее,4
Северо-Кавказский федеральный округ,...100 000 рублей и более,3
Сибирский федеральный округ,"...более 30 000 рублей, но менее 60 000 рублей",147
Сибирский федеральный округ,"...более 12 000 рублей, но менее 30 000 рублей",116
Сибирский федеральный округ,"...более 60 000 рублей, но менее 100 000 рублей",66
Сибирский федеральный округ,...100 000 рублей и более,52
Сибирский федеральный округ,...12 000 рублей или менее,34
Уральский федеральный округ,"...более 30 000 рублей, но менее 60 000 рублей",143
Уральский федеральный округ,"...более 12 000 рублей, но менее 30 000 рублей",89
Уральский федеральный округ,"...более 60 000 рублей, но менее 100 000 рублей",75
Уральский федеральный округ,...100 000 рублей и более,45
Уральский федеральный округ,...12 000 рублей или менее,20
Центральный федеральный округ,"...более 30 000 рублей, но менее 60 000 рублей",475
Центральный федеральный округ,...100 000 рублей и более,427
Центральный федеральный округ,"...более 60 000 рублей, но менее 100 000 рублей",390
Центральный федеральный округ,"...более 12 000 рублей, но менее 30 000 рублей",269
Центральный федеральный округ,...12 000 рублей или менее,106
Южный федеральный округ,"...более 30 000 рублей, но менее 60 000 рублей",64
Южный федеральный округ,"...более 12 000 рублей, но менее 30 000 рублей",52
Южный федеральный округ,"...более 60 000 рублей, но менее 100 000 рублей",26
Южный федеральный округ,...100 000 рублей и более,24
Южный федеральный округ,...12 000 рублей или менее,17
