Федеральный округ,Как можно охарактеризовать ваш ОСНОВНОЙ источник дохода?,Как можно охарактеризовать ваш ОСНОВНОЙ источник дохода?
Дальневосточный федеральный округ,Постоянная работа,86
Дальневосточный федеральный округ,Фриланс,13
Дальневосточный федеральный округ,Временная работа,12
Дальневосточный федеральный округ,Стипендия или грант,8
Дальневосточный федеральный округ,"Государственные пособия (пенсия, пособие по безработице и др.)",3
Дальневосточный федеральный округ,Краткосрочные/случайные подработки,3
Дальневосточный федеральный округ,"Пассивный доход (сдача жилья в аренду, дивиденды, проценты от вклада)",2
Дальневосточный федеральный округ,Не большой бизнес на услугах ,1
Дальневосточный федеральный округ,Основным источником дохода является личные денежные средства моих родителей,1
Дальневосточный федеральный округ,Собственный бизнес ,1
Дальневосточный федеральный округ,помощь родственников,1
Приволжский федеральный округ,Постоянная работа,461
Приволжский федеральный округ,Временная работа,58
Приволжский федеральный округ,Фриланс,56
Приволжский федеральный округ,Стипендия или грант,23
Приволжский федеральный округ,"Государственные пособия (пенсия, пособие по безработице и др.)",18
Приволжский федеральный округ,Краткосрочные/случайные подработки,18
Приволжский федеральный округ,"Пассивный доход (сдача жилья в аренду, дивиденды, проценты от вклада)",10
Приволжский федеральный округ,Свой бизнес,2
Приволжский федеральный округ,Деньги родителей,1
Приволжский федеральный округ,Зарплата родителей ,1
Приволжский федеральный округ,Материальная помощь от родных.,1
Приволжский федеральный округ,Нахождение на иждивении у родителей ,1
Приволжский федеральный округ,"Пенсия, работа",1
Приволжский федеральный округ,Помощь от родителей,1
Приволжский федеральный округ,Постоянная+свой бизнес,1
Приволжский федеральный округ,"Родители дают, пока я учусь. И подрабатываю в кофейне",1
Приволжский федеральный округ,Удаленная работа,1
Северо-Западный федеральный округ,Постоянная работа,871
Северо-Западный федеральный округ,Фриланс,103
Северо-Западный федеральный округ,Временная работа,49
Северо-Западный федеральный округ,Стипендия или грант,48
Северо-Западный федеральный округ,"Пассивный доход (сдача жилья в аренду, дивиденды, проценты от вклада)",44
Северо-Западный федеральный округ,"Государственные пособия (пенсия, пособие по безработице и др.)",31
Северо-Западный федеральный округ,Краткосрочные/случайные подработки,21
Северо-Западный федеральный округ,Свой бизнес,2
Северо-Западный федеральный округ,"В 2022 я уволилась со работы и начала свое дело, которое пока не приносит стабильный доход",1
